ticker,name_en,sector,market_cap_bucket,name_he,security_number,short_name,last_updated
AURA,,,,אאורה השקעות בע"מ,373019,,2026-04-21
AVGD,,,,אב-גד,1171818,,2026-04-21
AVGL,,,,אבגול,1100957,,2026-04-21
EVGN,Evogene,Technology,small,אבוג'ן,1105055,,2026-04-21
OVERSEAS,,,,אוברסיז,1139617,,2026-04-21
AUDC,AudioCodes,Technology,mid,אודיוקודס,1082965,,2026-04-21
AGRD,,,,אוטונומוס,1083419,,2026-04-21
ALL,,,,אולטרייד,1236967,,2026-04-21
ALLMED SOLUTION,,,,אולמד סולושנס,1101450,,2026-04-21
AUSTRALIA ISR,,,,אוסטרליה ישראל,1080522,,2026-04-21
OPK,,,,אופקו הלת',1129543,,2026-04-21
ORAD,,,,אורד,1104496,,2026-04-21
AUSA,,,,אורה סמארט-ש,1176619,,2026-04-21
ORON,,,,אורון קבוצה,1135706,,2026-04-21
ORNP,,,,אוריון,1232750,,2026-04-21
ORA,,,,אורמת טכנו,1134402,,2026-04-21
AZRM,,,,אזורים,715011,,2026-04-21
ATRO,,,,אטראו שוקי הון,1096106,,2026-04-21
ITGI,,,,אי.טי.ג'י.איי,1176114,,2026-04-21
IBIU,,,,איביאי חיתום,1084482,,2026-04-21
IBIS,,,,איביאי סילבר-ש,1097054,,2026-04-21
IES,,,,אייאיאס,431015,,2026-04-21
ICON,,,,אייקון גרופ,1182484,,2026-04-21
ERNG,,,,אייראנג'י טק,1105907,,2026-04-21
ILX,,,,אילקס מדיקל,1080753,,2026-04-21
INCR,,,,אינטרקיור,1106376,,2026-04-21
INRM,,,,אינרום,1132356,,2026-04-21
ISTA,,,,איסתא,1081074,,2026-04-21
ARG,,,,אירודרום קבוצה,363010,,2026-04-21
ELAL,,,,אל על,1087824,,2026-04-21
ELLO,,,,אלומיי,1082635,,2026-04-21
ALMG,,,,אלמוגים,1136829,,2026-04-21
ALMR,,,,אלמור חשמל,1142454,,2026-04-21
ALSP,,,,אלספק,1090364,,2026-04-21
ECMX,Electra Real Estate,Real Estate,mid,אלקטרה,739037,,2026-04-21
ECP,,,,אלקטרה צריכה,5010129,,2026-04-21
ELRN,,,,אלרון,749077,,2026-04-21
AMOT,,,,אמות,1097278,,2026-04-21
EMDV,,,,אמיליה פיתוח,589010,,2026-04-21
AMNT,,,,אמנת,654012,,2026-04-21
AMPA,,,,אמפא,1225200,,2026-04-21
ENLV,,,,אנלייבקס,1158997,,2026-04-21
ENLT,Enlight Renewable Energy,Energy,mid,אנלייט אנרגיה,720011,,2026-04-21
ANLT,,,,אנליסט,1080613,,2026-04-21
ENOG,,,,אנרג'יאן,1155290,,2026-04-21
NRGN,,,,אנרג'ין,1172071,,2026-04-21
CITY,,,,אנשי העיר,1198266,,2026-04-21
STG,,,,אסטיגי,550012,,2026-04-21
AFPR,,,,אפי נכסים,1091354,,2026-04-21
EPIC,,,,אפי קפיטל,1181437,,2026-04-21
EPIT,,,,אפיטומי מדיקל,1182591,,2026-04-21
AFRE,,,,אפריקה מגורים,1097948,,2026-04-21
AXON,,,,אקסון ויז'ן,1227552,,2026-04-21
ASHG,,,,אשטרום קבוצה,1132315,,2026-04-21
AZRD,,,,בזא,1198910,,2026-04-21
BMLK,,,,ביו דבש,1082346,,2026-04-21
BIOV,,,,ביו ויו,1096049,,2026-04-21
BKSD,,,,בכורי שדה,1172618,,2026-04-21
BRAM,,,,ברם תעשיות,1094515,,2026-04-21
BRK,,,,ברק בית השקעות,1104363,,2026-04-21
GBAI,,,,גבאי קבוצה,1224641,,2026-04-21
GOTO,,,,גוטו,1176726,,2026-04-21
GLDN,,,,גולדן אנרג'י,1083443,,2026-04-21
GLAN,,,,גולן תעשיות,1091933,,2026-04-21
GCT,,,,ג'י סיטי,126011,,2026-04-21
GILT,Gilat Satellite,Technology,mid,גילת,1082510,,2026-04-21
GEN,,,,ג'ין טכנולוגיות,1099787,,2026-04-21
GLOP,,,,גלובל פיי-ש,1081983,,2026-04-21
GLBR,,,,גלוברנדס,1147487,,2026-04-21
GNCL,,,,ג'נסל,1169689,,2026-04-21
DRSL,,,,דורסל,1190628,,2026-04-21
DIMRI,,,,דמרי,1090315,,2026-04-21
DANH,,,,דן מלונות,822015,,2026-04-21
DNL,,,,דנאל,314013,,2026-04-21
HOME,,,,הום ביוגז,1172204,,2026-04-21
HYPR,,,,הייפר גלובל,1184985,,2026-04-21
HCSH,,,,הכשרה התחדשות,1121474,,2026-04-21
WTR,,,,ווטר אי או,1180306,,2026-04-21
WBOX,,,,וויי בוקס,486027,,2026-04-21
WILC,,,,ויליפוד אינטרנש,1082858,,2026-04-21
WILK,Wilk Technologies Ltd,Consumer Defensive,,וילק,278010,,2026-04-24
VCTR,,,,ויקטורי,1123777,,2026-04-21
ZOOZ,,,,זוז אסטרטגיה,1174184,,2026-04-21
ILCO,,,,חברה לישראל,576017,,2026-04-21
HAD,,,,חד,351015,,2026-04-21
HILAN,,,,חילן,1084698,,2026-04-21
TSEM,Tower Semiconductor,Technology,large,"טאואר סמיקונדקטור בע""מ",1082379,,2026-04-21
TNDO,,,,טונדו סמארט,1180686,,2026-04-21
TECT,,,,טקטונה,216010,,2026-04-21
IBH,,,,י.ב התחדשות,111013,,2026-04-21
UMH,,,,יו.אמ.איץ',1184282,,2026-04-21
UNBO,,,,יוניבו-ש,1093558,,2026-04-21
YSDT,,,,יסודות,1188416,,2026-04-21
YAAZ,,,,יעז יזמות,1227321,,2026-04-21
EXPO,,,,יצוא,704015,,2026-04-21
ISCN,,,,ישראל קנדה,434019,,2026-04-21
ICH,,,,ישראל קנדה מלונ,1103852,,2026-04-21
