ticker,name_en,sector,market_cap_bucket,name_he,security_number,short_name,last_updated
AURA,,,,אאורה,373019,,21/04/2026
ABGD,,,,אב-גד,1171818,,21/04/2026
AVGL,,,,אבגול,1100957,,21/04/2026
EVGN,Evogene,Technology,small,אבוג'ן,1105055,,21/04/2026
OVRS,,,,אוברסיז,1139617,,21/04/2026
AUDC,AudioCodes,Technology,mid,אודיוקודס,1082965,,21/04/2026
AUTN,,,,אוטונומוס,1083419,,21/04/2026
ULRD,,,,אולטרייד,1236967,,21/04/2026
ULMD,,,,אולמד סולושנס,1101450,,21/04/2026
AUIS,,,,אוסטרליה ישראל,1080522,,21/04/2026
OPKO,,,,אופקו הלת',1129543,,21/04/2026
ORED,,,,אורד,1104496,,21/04/2026
ORSM,,,,אורה סמארט-ש,1176619,,21/04/2026
ORAN,,,,אורון קבוצה,1135706,,21/04/2026
ORIO,,,,אוריון,1232750,,21/04/2026
ORA,,,,אורמת טכנו,1134402,,21/04/2026
AZRM,,,,אזורים,715011,,21/04/2026
ATRO,,,,אטראו שוקי הון,1096106,,21/04/2026
ITGAI,,,,אי.טי.ג'י.איי,1176114,,21/04/2026
IBI,,,,איביאי חיתום,1084482,,21/04/2026
IBIS,,,,איביאי סילבר-ש,1097054,,21/04/2026
AIAS,,,,אייאיאס,431015,,21/04/2026
ICON,,,,אייקון גרופ,1182484,,21/04/2026
AIRT,,,,אייראנג'י טק,1105907,,21/04/2026
ALXM,,,,אילקס מדיקל,1080753,,21/04/2026
INTR,,,,אינטרקיור,1106376,,21/04/2026
INRM,,,,אינרום,1132356,,21/04/2026
ISTA,,,,איסתא,1081074,,21/04/2026
ARPT,,,,אירודרום קבוצה,363010,,21/04/2026
ELAL,,,,אל על,1087824,,21/04/2026
ALUM,,,,אלומיי,1082635,,21/04/2026
ALMG,,,,אלמוגים,1136829,,21/04/2026
ALMR,,,,אלמור חשמל,1142454,,21/04/2026
ALSP,,,,אלספק,1090364,,21/04/2026
ELCRE,Electra Real Estate,Real Estate,mid,אלקטרה,739037,,21/04/2026
ELTR,,,,אלקטרה צריכה,5010129,,21/04/2026
ELRN,,,,אלרון,749077,,21/04/2026
AMOT,,,,אמות,1097278,,21/04/2026
AMLA,,,,אמיליה פיתוח,589010,,21/04/2026
