נתוני מסחר - ניירות ערך,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שם,מס' ני''ע,סוג ני''ע,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אאורה,373019, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אאורה    אגח טז,3730579,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אאורה אגח יז,1193580,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אאורה אגח יח,1203405,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אאורה אגח יט,1223296,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אב-גד,1171818, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אב-גד     אגח ב,1196542,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אב-גד     אגח ג,1211770,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אב-גד     אגח ד,1225929,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אב-גד     אופ 2,1225937, כתבי אופציה ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אבגול,1100957, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אבו מגורים,1175819, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אבו מגורים אגחא,1231687,איגרות חוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אבו מגורים אפ 1,1234913, כתבי אופציה ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אבו מגורים אפ 2,1234921, כתבי אופציה ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אבוג'ן,1105055, מניות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
