English names: 426 tickers
Hebrew names:  170 tickers
Total unique tickers: 519
Already validated: 0 tickers
  [   1/519] ABOU.TA            OK  price=700.0
  [   2/519] ABRA.TA            OK  price=365.3999938964844
  [   3/519] ACCL.TA            OK  price=176.5
  [   4/519] ACKR.TA            OK  price=834.9000244140625
  [   5/519] ACRO.TA            OK  price=4328.0
  [   6/519] ADGR.TA            OK  price=448.8999938964844
  [   7/519] AFHL.TA            OK  price=41980.0
  [   8/519] AFPR.TA            OK  price=22250.0
  [   9/519] AFRE.TA            OK  price=24630.0
  [  10/519] AGRD.TA            OK  price=1308.0
  [  11/519] AILN.TA            OK  price=37.70000076293945
  [  12/519] ALAR.TA            OK  price=192.60000610351562
  [  13/519] ALBA.TA            OK  price=3088.0
  [  14/519] ALHE.TA            OK  price=3440.0
  [  15/519] ALL.TA             OK  price=2845.0
  [  16/519] ALLT.TA            OK  price=2175.0
  [  17/519] ALMA.TA            OK  price=996.2999877929688
  [  18/519] ALMD.TA            OK  price=36.70000076293945
  [  19/519] ALMY.TA            OK  price=1672.0
  [  20/519] ALRPR.TA           OK  price=26540.0
  [  21/519] ALTF.TA            OK  price=685.0
  [  22/519] ALUMA.TA           OK  price=82.4000015258789
  [  23/519] AMAL.TA            OK  price=1749.0
  [  24/519] AMAN.TA            OK  price=1969.0
  [  25/519] AMD.TA             OK  price=778.4000244140625
  [  26/519] AMDA.TA            OK  price=201.5
  [  27/519] AMOT.TA            OK  price=1906.0
  [  28/519] AMPA.TA            OK  price=1472.0
  [  29/519] AMRK.TA            OK  price=3471.0
  [  30/519] AMRM.TA            OK  price=4040.0
  [  31/519] ANGL.TA            OK  price=1867.0
  [  32/519] ANLT.TA            OK  price=12260.0
  [  33/519] APLP.TA            OK  price=364.3999938964844
  [  34/519] ARAN.TA            OK  price=3865.0
  [  35/519] ARBE.TA            OK  price=196.3000030517578
  [  36/519] ARD.TA             OK  price=4499.0
  [  37/519] ARDM.TA            OK  price=300.0
  [  38/519] ARF.TA             OK  price=8950.0
  [  39/519] ARGO.TA            OK  price=13160.0
  [  40/519] ARIN.TA            OK  price=520.0
  [  41/519] ARNG.TA            OK  price=523.2000122070312
  [  42/519] ARPT.TA            OK  price=5500.0
  [  43/519] ARTS.TA            OK  price=30.700000762939453
  [  44/519] ARYT.TA            OK  price=4732.0
  [  45/519] ASGR.TA            OK  price=701.4000244140625
  [  46/519] ASHG.TA            OK  price=7108.0
  [  47/519] ASHO.TA            OK  price=10600.0
  [  48/519] ATRY.TA            OK  price=7590.0
  [  49/519] AUDC.TA            OK  price=2751.0
  [  50/519] AUIS.TA            OK  price=1503.0
  [  51/519] AURA.TA            OK  price=1960.0
$AVER.TA: possibly delisted; no price data found  (period=5d)
  [  52/519] AVER.TA            OK  price=1246.0
  [  53/519] AVGD.TA            OK  price=1319.0
  [  54/519] AVGL.TA            OK  price=121.4000015258789
  [  55/519] AVIA.TA            OK  price=1920.0
  [  56/519] AVIV.TA            OK  price=2260.0
  [  57/519] AVRT.TA            OK  price=55.20000076293945
  [  58/519] AXN.TA             OK  price=901.2999877929688
  [  59/519] AYAL.TA            OK  price=13940.0
  [  60/519] AZRG.TA            OK  price=42010.0
  [  61/519] AZRM.TA            OK  price=1900.0
  [  62/519] AZRT.TA            OK  price=496.3999938964844
  [  63/519] BARI.TA            OK  price=5306.0
  [  64/519] BBLS.TA            OK  price=22.399999618530273
  [  65/519] BEZQ.TA            OK  price=769.0
  [  66/519] BHNY.TA            OK  price=104.30000305175781
  [  67/519] BIG.TA             OK  price=72850.0
  [  68/519] BIGT.TA            OK  price=101.0999984741211
  [  69/519] BIMT.TA            OK  price=40.79999923706055
  [  70/519] BIOV.TA            OK  price=14.100000381469727
  [  71/519] BIRM.TA            OK  price=1044.0
  [  72/519] BKFR.TA            OK  price=1375.0
  [  73/519] BKRY.TA            OK  price=450.5
  [  74/519] BLDI.TA            OK  price=6239.0
  [  75/519] BLEG.TA            OK  price=31790.0
  [  76/519] BLGO.TA            OK  price=981.0999755859375
  [  77/519] BLND.TA            OK  price=689.2000122070312
  [  78/519] BLRN.TA            OK  price=36.29999923706055
  [  79/519] BLRX.TA            OK  price=1.2000000476837158
  [  80/519] BLSR.TA            OK  price=38500.0
  [  81/519] BOLT.TA            OK  price=234.3000030517578
  [  82/519] BONS.TA            OK  price=39.79999923706055
  [  83/519] BOTI.TA            OK  price=4097.0
  [  84/519] BRAM.TA            OK  price=182.3000030517578
  [  85/519] BRAN.TA            OK  price=2647.0
  [  86/519] BRIH.TA            OK  price=103.5
  [  87/519] BRIL.TA            OK  price=1382.0
  [  88/519] BRKT.TA            OK  price=306.0
  [  89/519] BRMG.TA            OK  price=2394.0
  [  90/519] BRND.TA            OK  price=262.5
  [  91/519] BSEN.TA            OK  price=72000.0
  [  92/519] BUFT.TA            OK  price=479.8999938964844
  [  93/519] BVC.TA             OK  price=56.599998474121094
  [  94/519] BVGG.TA            OK  price=694.0
  [  95/519] BWAY.TA            OK  price=4297.0
  [  96/519] CAMT.TA            OK  price=48880.0
  [  97/519] CANF.TA            OK  price=508.6000061035156
  [  98/519] CAST.TA            OK  price=9467.0
  [  99/519] CBI.TA             OK  price=31.899999618530273
  [ 100/519] CDEV.TA            OK  price=19280.0
  [ 101/519] CEL.TA             OK  price=3371.0
  [ 102/519] CGEN.TA            OK  price=700.9000244140625
  [ 103/519] CILO.TA            OK  price=327.3999938964844
  [ 104/519] CISY.TA            OK  price=4503.0
  [ 105/519] CLIS.TA            OK  price=21440.0
  [ 106/519] CMDR.TA            OK  price=30750.0
  [ 107/519] CMER.TA            OK  price=4411.0
  [ 108/519] CNGL.TA            OK  price=962.2000122070312
  [ 109/519] CPIA.TA            OK  price=16.0
  [ 110/519] CPPL.TA            OK  price=318.0
$CPTP.TA: possibly delisted; no price data found  (period=5d)
  [ 111/519] CPTP.TA            OK  price=50.20000076293945
  [ 112/519] CRML.TA            OK  price=1696.0
  [ 113/519] CRMT.TA            OK  price=1900.0
  [ 114/519] CRSM.TA            OK  price=3032.0
  [ 115/519] CRSR.TA            OK  price=3420.0
$CTPL1.TA: possibly delisted; no price data found  (period=5d)
  [ 116/519] CTPL1.TA           OK  price=25950.0
  [ 117/519] CTPL5.TA           OK  price=119400.0
  [ 118/519] CYBR.TA            OK  price=51060.0
  [ 119/519] DANE.TA            OK  price=46000.0
  [ 120/519] DANH.TA            OK  price=3010.0
  [ 121/519] DELG.TA            OK  price=16770.0
  [ 122/519] DIFI.TA            OK  price=54260.0
  [ 123/519] DIMRI.TA           OK  price=42440.0
  [ 124/519] DIPL.TA            OK  price=4995.0
  [ 125/519] DISI.TA            OK  price=774.9000244140625
  [ 126/519] DLEA.TA            OK  price=2020.0
  [ 127/519] DLEKG.TA           OK  price=103860.0
  [ 128/519] DLPR.TA            OK  price=5903.0
  [ 129/519] DLTI.TA            OK  price=10380.0
  [ 130/519] DNYA.TA            OK  price=16300.0
  [ 131/519] DORL.TA            OK  price=5830.0
  [ 132/519] DRAL.TA            OK  price=21380.0
  [ 133/519] DRSH.TA            OK  price=2319.0
  [ 134/519] DSCT.TA            OK  price=3215.0
  [ 135/519] DSIT.TA            OK  price=1634.0
  [ 136/519] DUNI.TA            OK  price=23350.0
  [ 137/519] ECNR.TA            OK  price=6412.0
  [ 138/519] ECP.TA             OK  price=7584.0
  [ 139/519] EFCP.TA            OK  price=1441.0
  [ 140/519] ELAD.TA            OK  price=985.7999877929688
  [ 141/519] ELAL.TA            OK  price=1430.0
